वर्ष/तिथि,युद्ध का नाम,स्थान,पक्षकार,परिणाम
1259 ई.,रणथंभौर की घेराबंदी,रणथंभौर,नासिरुद्दीन बनाम जेतर सिंह,कब्जा
1283 ई.,रणथंभौर की घेराबंदी,रणथंभौर,शक्ति देव चौहान बनाम मामलूक,वापस लिया
1290 ई.,रणथंभौर का युद्ध,रणथंभौर,जलालुद्दीन फीरोज़ खलजी बनाम हम्मीर देव,हम्मीर विजय
1291 ई.,जालौर की घेराबंदी,जालौर,जलालुद्दीन बनाम वाघेला,पीछे हटना पड़ा
1294-95 ई.,जैसलमेर की घेराबंदी,जैसलमेर,अलाउद्दीन खलजी बनाम जैसलमेर राज्य,"लूट, फिर राजपूतों ने वापस लिया"
1295 ई.,जैसलमेर का प्रथम जौहर,जैसलमेर,अलाउद्दीन खलजी बनाम जैसलमेर,लूट और जौहर
1299 ई.,रणथंभौर का युद्ध,रणथंभौर,अलाउद्दीन बनाम हम्मीरदेव,कब्जा
1300 ई.,बानास का युद्ध,बानास (रणथंभौर के पास),अलाउद्दीन (उलूघ खान) बनाम हम्मीरदेव के सेनापति,हराए गए
1301 ई.,रणथंभौर की घेराबंदी,रणथंभौर,हम्मीरदेव बनाम अलाउद्दीन,"प्रारंभिक विजय, बाद में हार"
1303 ई.,चित्तौड़ की घेराबंदी,चित्तौड़,अलाउद्दीन बनाम रावल रतन सिंह,"रतन सिंह हार, प्रथम जौहर"
1305 ई.,जालौर का युद्ध,जालौर,कन्हड़देव बनाम दिल्ली सेना,शाहीन को मारा
1305 ई.,सिवाना का युद्ध,सिवाना,सीतलदेव बनाम अलाउद्दीन के सेनापति,हराए और मारे गए
1308 ई.,सिवाना की घेराबंदी,सिवाना,मलिक कमालुद्दीन बनाम शीतल देव,शीतल देव हार
1310 ई.,जालौर की घेराबंदी,जालौर,कन्हड़ देव बनाम शामा खान,विफल
1310-11 ई.,जालौर का युद्ध,जालौर,अलाउद्दीन बनाम कन्हड़ देव,"खलजी विजय, महंगी"
1321 ई.,चित्तौड़ का युद्ध,चित्तौड़,राणा हम्मीर सिंह बनाम मालदेव सोंगारा,"हम्मीर विजय, मेवाड़ वापस"
1333 ई.,कांगड़ा घाटी का युद्ध,कांगड़ा (हिमाचल),कटोच राजपूत बनाम मुहम्मद बिन तुगलक,तुगलक सेना नष्ट
1336 ई.,सिंगोली का युद्ध,सिंगोली,राणा हम्मीर सिंह बनाम मुहम्मद बिन तुगलक,"हम्मीर विजय, अजमेर आदि पर कब्जा"
1336-1340 ई.,राजपूत पुनरुत्थान,राजस्थान (मेवाड़-मारवाड़),राणा हम्मीर बनाम तुगलक,तुगलक का राजस्थान पर नियंत्रण समाप्त
1374 ई.,मल्लानी का युद्ध,मल्लानी,रावल मल्लीनाथ (राठौड़) बनाम त्रिभुवनशी,विजय
1378 ई.,मल्लानी का युद्ध,मल्लानी,रावल मल्लीनाथ बनाम मुस्लिम सेना (निज्जामुद्दीन),विजय
1394 ई.,मंडोर का युद्ध,मंडोर,राव चूंडा बनाम मुस्लिम सेना,मंडोर पर कब्जा
1396 ई.,मंडोर का युद्ध,मंडोर,राव चूंडा बनाम तुगलक सेना,"रक्षा, संभर आदि पर कब्जा"
1399 ई.,नागौर का युद्ध,नागौर,राव चूंडा राठौड़ बनाम जलाल खान,नागौर पर कब्जा
1399 ई.,मल्लानी का युद्ध,मल्लानी,जगमाल सिंह बनाम हाथी खान,विजय
1415 ई.,बड़नोर का युद्ध,बड़नोर,राणा लाखा बनाम दिल्ली सुल्तान,विजय
1421 ई.,मंडोर का युद्ध,मंडोर,राव चूंडा बनाम फीरोज़ खान,नागौर वापस
1434 ई.,सिरोही का युद्ध,सिरोही,राव रणमल बनाम राव सहसमल देवड़ा,बसंतगढ़ आदि पर कब्जा
1435-36 ई.,मंडलगढ़ की घेराबंदी,मंडलगढ़,राव रणमल बनाम राव बैरिसल हाड़ा,कब्जा
1437 ई.,जहाजपुर का युद्ध,जहाजपुर,राणा कुम्भा बनाम हाड़ा,विजय
1437 ई.,पूर्वी सिरोही विजय,पूर्वी सिरोही,राणा कुम्भा बनाम सहसमल,कब्जा
1437 ई.,सरंगपुर का युद्ध,सरंगपुर,राणा कुम्भा बनाम महमूद खलजी,"सुल्तान कैद, विजय स्तंभ बनाया"
1437 ई.,अजमेर पर कब्जा,अजमेर,राणा कुम्भा बनाम फीरोज़ खान,कब्जा
1442-46 ई.,मंडलगढ़ और बानास के युद्ध,मंडलगढ़-बानास,महमूद खलजी बनाम राणा कुम्भा,"श्रृंखला, 10 वर्ष शांति"
1444 ई.,गागरोन की घेराबंदी,गागरोन,महमूद खलजी बनाम पल्हण सिंह,पल्हण मारा गया
1448 ई.,मालवा-गुजरात संयुक्त सेना पर विजय,मेवाड़,राणा कुम्भा बनाम मालवा-गुजरात सुल्तान,"कुम्भा विजय, विजय स्तंभ बनाया"
1454 ई.,मंडोर की घेराबंदी,मंडोर,राव जोधा बनाम राणा कुम्भा,वापस लिया
1455 ई.,आबू का युद्ध,आबू,कुतुबुद्दीन बनाम मेवाड़ी सैनिक,भारी नुकसान
1456 ई.,नागौर का युद्ध,नागौर,राणा कुम्भा बनाम शम्स खान और कुतुबुद्दीन,नागौर आदि पर कब्जा
1456 ई.,मंडलगढ़ का युद्ध,मंडलगढ़,महमूद खलजी बनाम राणा कुम्भा,"भारी नुकसान, पीछे हटे"
1456-57 ई.,मंडलगढ़ की घेराबंदी,मंडलगढ़,महमूद खलजी बनाम राणा कुम्भा,"कब्जा, फिर राजपूतों ने वापस"
1458-59 ई.,कुम्भलगढ़ की घेराबंदी,कुम्भलगढ़,महमूद खलजी बनाम कुम्भलगढ़,"विफल, किला मजबूत"
1466 ई.,नागौर की घेराबंदी,नागौर,राव जोधा बनाम फतनखान,फतनखान भागा
1467 ई.,मंडलगढ़ का युद्ध,मंडलगढ़,महमूद खलजी बनाम राणा कुम्भा,"हराए, भारी नुकसान"
1473 ई.,मंडलगढ़ का युद्ध,मंडलगढ़,महमूद खलजी बनाम राणा रैमल,"हराए, लूट"
1474 ई.,चप्पर-द्रोणपुर का युद्ध,चप्पर-द्रोणपुर,राव जोधा बनाम बहलोल खान,विजय
1475 ई.,चित्तौड़गढ़ की घेराबंदी,चित्तौड़,राणा रैमल बनाम घियाथ शाह,"हराए, भागे"
1485 ई.,जंगलदेश विजय,जंगलदेश,राव बीका बनाम जाट बस्तियाँ,जाट कबीले वशीभूत
1486 ई.,संभर का युद्ध,संभर,राव जोधा बनाम चन्द्रसेन,विजय
1486 ई.,शिव का युद्ध,शिव,राव जोधा बनाम रावल देवीदास,शिव वापस
1488 ई.,बीकानेर का युद्ध,बीकानेर,बहलोल लोदी बनाम राव बीका,"हराए, सरंग खान मारा"
1492 ई.,पीपर का युद्ध,पीपर,राव सतल बनाम गुधला खान,"विजय, सतल घायल मरे"
1492 ई.,कोसाना का युद्ध,कोसाना,राव शीतल देव बनाम मल्लू खान,शीतल देव विजय
1495 ई.,अजमेर पर कब्जा,"तारागढ़, अजमेर",पृथ्वीराज सिसोदिया बनाम अफगान,अफगान हराए
1513 ई.,बीकानेर का युद्ध,बीकानेर,मुहम्मद खान नागौर बनाम लूणकरण,हराए
1513 ई.,जैसलमेर का युद्ध,जैसलमेर,लूणकरण भाटी बनाम रावल जयतसी,लूणकरण हार
1514/1517 ई.,इदार के युद्ध,इदार,राणा संगा बनाम गुजरात-मालवा,विजय
1518 ई.,खटोली का युद्ध,खटोली,राणा संगा बनाम इब्राहिम लोदी,विजय
1519 ई.,धौलपुर का युद्ध,धौलपुर,राणा संगा बनाम इब्राहिम लोदी,विजय
1519 ई.,गागरोन का युद्ध,गागरोन,राणा संगा बनाम महमूद खलजी,विजय
1520 ई.,गुजरात विजय,"गुजरात (इदार, अहमदाबाद)",राणा संगा (राजपूत गठबंधन) बनाम गुजरात सल्तनत,"रैमल बहाल, सुल्तान भागा"
1520 ई.,राजपूत गुजरात आक्रमण,गुजरात,राणा संगा बनाम गुजरात,विजय
1520 ई.,मंदसौर की घेराबंदी,मंदसौर,मुजफ्फर शाह द्वितीय बनाम मंदसौर,विफल
1520 ई.,मेवाड़ पर गुजरात-मालवा आक्रमण,मेवाड़,राणा संगा बनाम गुजरात-मालवा,आक्रमण विफल
1527 ई.,बयाना का युद्ध,बयाना,मुगल अग्रदस्ता बनाम राणा संगा,मुगल हराए
1527 ई.,खानवा का युद्ध,खानवा,मुगल सेना बनाम राणा संगा,मुगल विजय
1529 ई.,सेवकी का युद्ध,सेवकी,राव गंगा और जयतसी बनाम शेखा,विजय
1533 ई.,हीराबाड़ी का युद्ध,हीराबाड़ी,राव मालदेव बनाम दौलत खान नागौर,मालदेव विजय
1534 ई.,बीकानेर की घेराबंदी,बीकानेर,राव जयतसी बनाम कमरान (हुमायूं का भाई),जयतसी विजय
1535 ई.,चित्तौड़ पर बहादुर शाह आक्रमण,चित्तौड़,बहादुर शाह गुजरात बनाम चित्तौड़,द्वितीय जौहर
1537 ई.,जैसलमेर की घेराबंदी,जैसलमेर,राव मालदेव बनाम रावल लूणकरण,शांति
1541 ई.,पहोबा का युद्ध,पहोबा,राव जयतसी बीकानेर बनाम मालदेव मारवाड़,मालदेव विजय
1542 ई.,सोहाबा का युद्ध,सोहाबा,राव मालदेव बनाम राव जयतसी,"मालदेव विजय, बीकानेर कब्जा"
1544 ई.,सम्मेल का युद्ध,सम्मेल,शेर शाह सूरी बनाम राव मालदेव,सूरी विजय
1545 ई.,जोधपुर का युद्ध,जोधपुर,राव मालदेव बनाम अफगान चौकी,मारवाड़ वापस
1555 ई.,जोधपुर का युद्ध,जोधपुर,राव मालदेव बनाम अफगान गैरीजन,"मालदेव विजय, क्षेत्र वापस"
1557 ई.,हरमाड़ा का युद्ध,हरमाड़ा,राव मालदेव बनाम उदय सिंह द्वितीय,"मालदेव विजय, मेरटा कब्जा"
1558 ई.,रणथंभौर की घेराबंदी,रणथंभौर,अकबर बनाम रणथंभौर,कब्जा
1559 ई.,अजमेर का युद्ध,अजमेर,कासिम खान बनाम मालदेव,अकबर का कब्जा
1562 ई.,मेरटा का युद्ध,मेरटा,अकबर (बीकानेर-अमेर के साथ) बनाम राव चंद्रसेन,मेरटा कब्जा
1562 ई.,लोहावत का युद्ध,लोहावत,राव चंद्रसेन बनाम उदय सिंह मारवाड़,चंद्रसेन विजय
1563 ई.,नाडोल का युद्ध,नाडोल,राव चंद्रसेन बनाम रामचंद्र राठौड़,चंद्रसेन विजय
1562-1583 ई.,मारवाड़ पर प्रथम मुगल आक्रमण,मारवाड़ (जोधपुर सहित),अकबर बनाम राव चंद्रसेन,"जोधपुर कब्जा, 1583 में समर्पण"
1567 ई.,मंडलगढ़ का युद्ध,मंडलगढ़,आसफ खान बनाम बल्लू सिंहजी,"प्रारंभिक विफल, बाद कब्जा"
1567 ई.,चित्तौड़गढ़ की घेराबंदी,चित्तौड़गढ़,अकबर बनाम जयमल-पट्टा,अकबर विजय
1568 ई.,रणथंभौर की घेराबंदी,रणथंभौर,अकबर बनाम राव सूरजन हाड़ा,समर्पण
1572 ई.,सिवाना की घेराबंदी,सिवाना,उदय सिंह राठौड़ बनाम कल्याणमल,सिवाना कब्जा
1576 ई.,हल्दीघाटी का युद्ध,हल्दीघाटी,मान सिंह बनाम महाराणा प्रताप,"अनिर्णीत, मुगल लाभ"
1577 ई.,मोही का युद्ध,मोही,मुगल बनाम प्रताप के सैनिक,राजपूतों ने मोही लिया
1582 ई.,देवैर का युद्ध,देवैर,महाराणा प्रताप बनाम सुल्तान खान,36 मुगल चौकियां भंग
1583 ई.,दत्तानी का युद्ध,दत्तानी,राव सूरटन देवड़ा बनाम मुगल,देवड़ा विजय
1583 ई.,कुम्भलगढ़ की घेराबंदी,कुम्भलगढ़,महाराणा प्रताप बनाम मुगल,कुम्भलगढ़ वापस
1599 ई.,ओंटाला की घेराबंदी,ओंटाला,राणा अमर सिंह बनाम कयूम खान,"कयूम मारा, ओंटाला कब्जा"
1606 ई.,देवैर का युद्ध,देवैर (कुम्भलगढ़ से 40 किमी),राणा अमर सिंह बनाम मुहम्मद परवेज़,अमर सिंह विजय
1611 ई.,रणकपुर का युद्ध,रणकपुर,राणा अमर सिंह बनाम अब्दुल्लाह खान,अमर सिंह विजय
1644 ई.,मटेरे की रद्द – नागौर,नागौर,अमर सिंह राठौड़ बनाम करण सिंह बीकानेर,अमर सिंह विजय
1658 ई.,धर्मतपुर का युद्ध,धर्मतपुर,औरंगजेब बनाम जसवंत सिंह,औरंगजेब विजय
1659 ई.,दुरई का युद्ध,दुरई,औरंगजेब बनाम दारा शिकोह,औरंगजेब विजय
1679-1707 ई.,राजपूत युद्ध (राठौड़ विद्रोह),मारवाड़ (जोधपुर),दुर्गादास राठौड़ बनाम औरंगजेब,1707 में जोधपुर वापस
1680 ई.,उदयपुर का युद्ध,उदयपुर,औरंगजेब बनाम राणा राज सिंह,"उदयपुर लूटा, लेकिन राज सिंह ने गोरिल्ला से भूखा किया"
1680 ई.,उदयपुर और अरावली का युद्ध,उदयपुर-अरावली,औरंगजेब के पुत्र बनाम राज सिंह,राज सिंह की मांगें मानीं
1681-1687 ई.,खानाना का युद्ध,खानाना,दुर्गादास बनाम मुगल,राठौड़ विजय
1690 ई.,अजमेर का युद्ध,अजमेर,दुर्गादास बनाम साफी खान,दुर्गादास विजय
1707 ई.,जोधपुर का युद्ध,जोधपुर,दुर्गादास बनाम मुगल,जोधपुर वापस
1708 ई.,आमेर का विलय,आमेर,बहादुर शाह प्रथम बनाम सवाई जय सिंह,बिना युद्ध कब्जा
1708 ई.,मेरटा का युद्ध,मेरटा,मीराब खान बनाम अजित सिंह,"मुगल विजय, जोधपुर कब्जा"
1708 ई.,आमेर/जोधपुर/मेरटा का युद्ध,आमेर-जोधपुर-मेरटा,बहादुर शाह बनाम राजपूत,कब्जा
1708-1710 ई.,राजपूत विद्रोह,"जोधपुर, बयाना आदि","राजपूत राजा (कछवाहा, सिसोदिया, राठौड़) बनाम बहादुर शाह",संधि
1708 ई.,जोधपुर और जयपुर की घेराबंदी,जोधपुर-जयपुर,जय सिंह-अजित सिंह बनाम मुगल चौकी,राजधानियाँ वापस
1708 ई.,संभर का युद्ध,संभर,राठौड़-कछवाहा बनाम सैयद हुसैन बरहा,बरहा मारा गया
1710 ई.,जावली का युद्ध,जावली,मीर खान और चूड़ामन जाट बनाम गज सिंह नरुका,नरुका ने रोका
1710 ई.,टोंक का युद्ध,टोंक,राठौड़-कछवाहा बनाम मुहम्मद खान,मुहम्मद हराया
1708 ई.,कामा का युद्ध,कामा,अजित सिंह कछवाहा बनाम मुगल-जाट,कछवाहा विजय
1711 ई.,बंडनवाड़ा का युद्ध,बंडनवाड़ा,संग्राम सिंह द्वितीय बनाम मीर बख्शी,संग्राम विजय
1715 ई.,पिलसुद का युद्ध,पिलसुद,सवाई जय सिंह बनाम मराठा,जय सिंह विजय
1718-1722 ई.,जय सिंह का जाट अभियान,विभिन्न,जय सिंह बनाम जाट,अभियान
1733 ई.,मंदसौर का युद्ध,मंदसौर,सवाई जय सिंह बनाम मराठा,मराठा विजय
1741 ई.,गंगवाना का युद्ध,गंगवाना,जयपुर-जोधपुर बनाम मराठा,अनिर्णीत
1747 ई.,राजमहल का युद्ध,टोंक,इश्वरी सिंह और माधो सिंह बनाम आमेर,माधो सिंह विजय
1761 ई.,भटवाड़ा का युद्ध,भटवाड़ा,शत्रुशाल कोटा बनाम माधो सिंह जयपुर,शत्रुशाल विजय
1761 ई.,मांडा और मंडोली का युद्ध,मांडा-मंडोली,जवाहर सिंह जाट बनाम माधो सिंह,जाट हार
1768 ई.,भरतपुर का युद्ध,भरतपुर,माधो सिंह बनाम जवाहर सिंह,माधो सिंह विजय
1787 ई.,तुंगा या लालसोट का युद्ध,लालसोट,जयपुर-जोधपुर बनाम महादजी शिंदे,अनिर्णीत
1790 ई.,मेरटा का युद्ध,मेरटा,महादजी सिंधिया बनाम विजय सिंह,सिंधिया विजय
1800 ई.,मालपुरा का युद्ध,मालपुरा,दौलत राव सिंधिया बनाम प्रताप सिंह,सिंधिया विजय
1805 ई.,भटनेर का युद्ध,हनुमानगढ़,विभिन्न,अनिर्दिष्ट
1806 ई.,मेहरानगढ़ की घेराबंदी,मेहरानगढ़,मान सिंह मारवाड़ बनाम जयपुर-मेवाड़-बीकानेर,मान सिंह विजय
1807 ई.,गिगोली का युद्ध,पाबूसर,विभिन्न (मेवाड़ राजकुमारी),अनिर्दिष्ट
